RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  158  174     0     0  con    0  1.0D+00  6.4D-02  2.949D-07  1.463D-07
  159  175     0     0  con    0  1.0D+00  4.7D-02  5.680D-07  1.432D-07
  160  176     0     0  con    0  1.0D+00  9.9D-02  1.502D-06  1.401D-07
  161  177     0     0  con    0  1.0D+00  1.0D-01  1.331D-06  1.335D-07
  162  178     0     0  con    0  1.0D+00  2.6D-01  2.664D-06  1.306D-07
  163  179     0     0  con    0  1.0D+00  7.7D-02  1.583D-06  1.267D-07
  164  180     0     0  con    0  1.0D+00  8.8D-02  3.923D-07  1.206D-07
  165  181     0     0  con    0  1.0D+00  3.7D-03  3.791D-07  1.202D-07
  166  182     0     0  con    0  1.0D+00  5.8D-03  3.169D-07  1.194D-07
  167  183     0     0  con    0  1.0D+00  7.8D-03  5.265D-07  1.188D-07
  168  184     0     0  con    0  1.0D+00  1.8D-02  8.780D-07  1.169D-07
  169  185     0     0  con    0  1.0D+00  2.7D-02  1.168D-06  1.136D-07
  170  186     0     0  con    0  1.0D+00  3.8D-02  4.793D-07  1.117D-07
  171  187     0     0  con    0  1.0D+00  1.3D-02  2.388D-07  1.104D-07
  172  188     0     0  con    0  1.0D+00  1.3D-02  3.313D-07  1.095D-07
  173  189     0     0  con    0  1.0D+00  1.0D-02  3.047D-07  1.092D-07
  174  190     0     0  con    0  1.0D+00  5.8D-02  1.177D-06  1.088D-07
  175  191     0     0  con    0  1.0D+00  7.4D-03  3.530D-07  1.083D-07
  176  192     0     0  con    0  1.0D+00  4.0D-03  2.166D-07  1.080D-07
  177  193     0     0  con    0  1.0D+00  5.4D-03  1.455D-07  1.077D-07
  178  194     0     0  con    0  1.0D+00  5.3D-03  2.038D-07  1.074D-07
  179  195     0     0  con    0  1.0D+00  1.5D-02  3.130D-07  1.062D-07
  180  196     0     0  con    0  1.0D+00  2.0D-02  3.289D-07  1.045D-07
  181  198     0     0  con    1  4.0D-01  2.2D-02  9.554D-07  1.036D-07
  182  199     0     0  con    0  1.0D+00  2.1D-02  5.176D-07  1.015D-07
  183  200     0     0  con    0  1.0D+00  1.1D-02  1.841D-07  1.006D-07
  184  201     0     0  con    0  1.0D+00  6.4D-03  1.723D-07  1.003D-07
  185  202     0     0  con    0  1.0D+00  7.1D-03  2.536D-07  9.995D-08
  186  203     0     0  con    0  1.0D+00  2.4D-02  4.322D-07  9.892D-08
  187  204     0     0  con    0  1.0D+00  5.5D-02  1.376D-06  9.818D-08
  188  205     0     0  con    0  1.0D+00  2.9D-02  6.114D-07  9.608D-08
  189  206     0     0  con    0  1.0D+00  3.3D-02  6.516D-07  9.439D-08
  190  207     0     0  con    0  1.0D+00  4.0D-02  5.749D-07  9.303D-08
  191  208     0     0  con    0  1.0D+00  3.3D-02  4.793D-07  9.188D-08
  192  209     0     0  con    0  1.0D+00  5.4D-02  1.289D-07  9.056D-08
  193  211     0     0  con    1  3.3D-01  1.6D-02  6.810D-07  9.007D-08
  194  212     0     0  con    0  1.0D+00  8.2D-03  3.014D-07  8.975D-08
  195  213     0     0  con    0  1.0D+00  4.7D-03  1.937D-07  8.955D-08
  196  214     0     0  con    0  1.0D+00  5.5D-03  2.190D-07  8.919D-08
  197  215     0     0  con    0  1.0D+00  4.4D-03  3.856D-07  8.841D-08
  198  216     0     0  con    0  1.0D+00  8.7D-03  6.019D-07  8.806D-08
  199  217     0     0  con    0  1.0D+00  1.7D-02  3.217D-07  8.694D-08
  200  218     0     0  con    0  1.0D+00  1.6D-02  2.666D-07  8.569D-08
  201  219     0     0  con    0  1.0D+00  2.8D-02  4.021D-07  8.448D-08
  202  220     0     0  con    0  1.0D+00  4.0D-02  2.956D-07  8.250D-08
  203  221     0     0  con    0  1.0D+00  2.9D-02  2.444D-07  8.111D-08
